Text,TopCategory1,TopCategory1 Probability,TopCategory2,TopCategory2 Probability,TopCategory3,TopCategory3 Probability
"ドコモ メール の 振り分け 設定 に 使う 電話 帳 の グループ データ が 、 妻 の アカウント 情報 の まま に なっ て いる ため 、 修正 方法 を 教え て ください 。 経緯 として は 、 以下 の 通り 先日 ドコモ ショップ にて 、 別 の ドコモ アカウント で ｄ フォト を 使用 できる と お 聞き し た ため @ 妻 の 端末 にて 、 私 の アカウント で ログイン し 、 ｄ フォト を 使用 し た 。 A 妻 の 端末 で ドコモメールアプリ を 開け なく なっ た （ 内容 は 忘れ た が エラー が 表示 さ れ て アプリ が 開け ない 状態 に なっ た ） ため 、 私 の アカウント で ログイン し 、 妻 の ドコモメールアプリ 内 の データ が 私 の もの に 入れ替わっ た B 妻 の 端末 で アカウント の 設定 を 妻 自身 の もの に 戻し た 。 （ 妻 の 端末 に ある ドコモメールアプリ は 正常 に なっ た 。 ） C 私 の 端末 で 、 ドコモ メール の 振り分け 設定 が 無効 に なっ て い た 。 D ドコモ メール の 振り分け 設定 画面 で グループ を 参照 する と 、 妻 の 電話 帳 データ が 表示 さ れる よう に なっ て い た 。 私 の クラ ウド 電話 帳 アプリ で は 、 私 自身 の 電話 帳 データ と なっ て いる こと を 確認 解決 策 を 教え て ください 。 よろしく お願い し ます 。 Ｇａｒａｘｙ 
",操作説明,0.455,ログイントラブル,0.359,その他,0.104
"【 お客様 情報 】 ・ 携帯 電話 番号 、 フルネーム 聴取 　 本人 確認 済 （ ＩＶＲ 認証 ＯＫ ） 。 【 問合せ 内容 】 ・ ｄ フォト の 契約 内容 について の 問い合わせ 。 【 要望 ／ 転送 】 ・ 契約 関連 お 問合せ の 為 、 インフォ 転送 。 【 応対 ログ ＩＤ 】 ８ ３ １ ６ ７ L : 料金 ・ 商品 ・ ｻｰﾋﾞｽ 問合せ 
",その他,0.56,サービス案内,0.253,ログイントラブル,0.09
"【 機種 】 ｉＰｈｏｎｅ ８ 　 ｉＯＳ １ ４ ． ２ 【 カテゴリ 】 ｄ フォト 　 【 事象 の 概要 】 Ｌ 判 プリント を 注文 し たい が 、 端末 の 写真 が 出 て こ ない ので 操作 が 出来 ない 【 発生 日時 】 ２ ／ ２ ８ 【 再発 有無 】 初 事象 【 解決 方法 】 写真 の アクセス を 全て の 写真 に 変更 し 改善 ０ ８ ０ ８ 
",操作説明,0.937,その他,0.018,ログイントラブル,0.013
"【 機種 】 Ｆ − ０ ４ Ｋ （ ＡＲＢｅ ） ビルド 最新 【 カテゴリ 】 トラ ） ｄ フォト 　 【 事象 の 概要 】 手動 で の クラウドアップロード は 出来る の だ が 、 自動 お 預かり が でき ない 。 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ／ 再発 ［ 外部 機器 ］ ■ 社内 問い合わせ 　 遠隔 代々木 センター 　 ０ ９ ０ ７ 
",操作説明,0.714,その他,0.077,起動トラブル,0.057
"【 機種 】 ｉＰｈｏｎｅ １ ２ 【 カテゴリ 】 ▲ その他 ｄ 系 アプリ 【 事象 の 概要 】 ｄ フォトプリントアプリ で 端末 の 写真 が 一部 しか 表示 さ れ ない 【 発生 日時 】 ２ ／ ２ ８ 【 再発 有無 】 初 事象 【 解決 方法 】 設定 ⇒ ｄ フォト プリント ⇒ 写真 ⇒ すべて の 写真 に 変更 し 解決 １ ４ ０ ２ 
",操作説明,0.867,ログイントラブル,0.09,その他,0.024
"今回 、 ｄ フォト について の 問い合わせ だっ た の です が 、 とても いい サービス だ と 思い ます 。 これから も 色々 な サービス を 提供 し て いただけれ ば と 思い ます 。 【 お客様 アンケート ( IC )】 
",その他,0.799,サービス案内,0.067,アプリが使いにくい,0.047
"【 機種 】 Ｌ − ０ ３ Ｋ （ ＳＴＹＬＥ ） ／ １ ０ ／ ３ ０ Ａ 【 カテゴリ 】 トラ ） ｄ フォト ・ 外部 メモリ ／ ＳＤ カード 　 【 事象 の 概要 】 ・ ｄ フォト で 一部 写真 の アップ ロード が 出来 ない ・ 設定 ＞ ストレージ ＞ ＳＤ カード で 出 て くる 写真 が ギャラリー だ と 表示 さ れ ない ［ 発生 手順 ］ ［ エラー 文言 ］ 「 接続 に 失敗 し まし た 」 「 ファイル 」 という 単語 が 入っ た 通知 も あっ た ［ 発生 日時 ］ ／ 　 ： ［ 再発 有無 ］ 初 事象 ［ 事象 発生 の きっかけ ］ ［ 発生 環境 ］ ・ Ｗｉ − Ｆｉ ・ ＳＩＭ なし ・ 発生 機種 ・ ［ 発生 頻度 ］ ［ トラブル シューティング ］ ｄ フォト ｄ アカウント 設定 済 ・ ＳＩＭ カード 抜い てる ・ 再 起動 済み ・ 検索 等 可能 パケット 通信 で 出来る か どう か の 確認 ・ 出来 なかっ た 場合 アプリ 入れ直し の 提案 Ｓ Ｄ カード ＳＤ カード の 抜き差し ０ ４ ０ ５ 
",操作説明,0.654,その他,0.277,ログイントラブル,0.023
"【 機種 】 ｉＰｈｏｎｅ ７ 　 １ ４ ． ４ 【 カテゴリ 】 ｄ フォト （ ＷＥＢ アルバム ） 【 事象 の 概要 】 フォト ブック 作成 の 際 縦 向き の 写真 を 選択 し た 際 の コメント を 横向き に 変える こと が でき ない か 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 設定 が 無い 為 縦 向き で の 入力 に なる 旨 説明 ０ ７ ０ ３ 
",操作説明,0.473,その他,0.361,サービス案内,0.041
"【 お客様 情報 】 ・ 携帯 電話 番号 、 フルネーム 聴取 　 本人 確認 済 （ ＮＷ 暗証 番号 （ プッシュ 入力 ） ） 。 【 問合せ 内容 】 ・ 電源 が 入ら ない ため 、 アフターサービス として 修理 を し たい 。 【 リセット ・ 設定 改善 状況 】 ・ お客様 自身 で 強制 再 起動 し て いる が 事象 改善 なし （ 操作 前後 の いずれ も 充電 反応 も なし ） 。 【 回答 】 ・ 改めて アフターサービス として 修理 について ご 案内 。 ・ 但し データ バックアップ 未 取得 と の こと につき 、 データ 復旧 サービス について も あわせ て お伝え 。 ・ 元々 来店 予約 を し て いる ため 、 どの 程度 クラ ウド に 写真 など の データ が 残っ て いる か （ ｄ フォト 利用 あり ） を 確認 し て 、 修理 か 交換 （ ＋ データ 復旧 サービス ） を 判断 し たい と の こと で 終 話 。 【 応対 ログ ＩＤ 】 ８ １ ７ ６ ９ Google Pixel 3 , C : 電源 関連 
",操作説明,0.586,その他,0.281,サービス案内,0.061
"もっと 自分 の アプリ の 事 は 勉強 し て 下さい 。 早く ｄ フォト は 解決 し て 下さい 。 もう 半年 たっ て ます 。 いい 加減 に し て 下さい 。 【 お客様 アンケート ( IC )】 
",その他,0.813,アプリが使いにくい,0.072,操作説明,0.037
"ｄ フォト の プリント 権利 消失 に関する 表記 を 「 今月 印刷 し ない と プリント 権利 が なくなり ます 」 や 「 今月 印刷 し なく て も プリント 権利 は 繰越 でき ます 」 の よう に 具体 的 な お客様 目線 で の 表記 に 変え て 欲しい 
",その他,0.623,サービス案内,0.152,操作説明,0.086
"【 機種 】 ｉＰｈｏｎｅＳＥ （ 第 ２ 世代 ） 【 カテゴリ 】 トラ ） ｄ フォト 【 事象 の 概要 】 解約 後 、 クラ ウド の 写真 が 表示 さ れ ない 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ／ 再発 ［ 外部 機器 ］ １ ２ ０ ３ 
",操作説明,0.778,サービス案内,0.101,ログイントラブル,0.038
"【 機種 】 ｉＰｈｏｎｅＸＳ ／ １ ４ ． ４ 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 お預け し て いる 写真 を ダウンロード し たい が 端末 に 保存 が 表示 さ れ ない 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 すべて の 写真 から 行っ て い た 為 お 預かり 写真 一覧 から 通常 操作 で 端末 に 保存 し 解決 ０ ７ ０ １ 
",操作説明,0.954,インストールトラブル,0.011,その他,0.01
"ｄ フォト について 長らく ｄ フォト 契約 し て いる 。 アプリ の 仕様 が 変わり 、 以前 の アプリ の 時 に 注文 し た 商品 を 再 注文 でき ない 。 何 度 も お 問合せ し て いる 。 再 注文 できる よう に 努め て いる が 、 いつ に なる か は 分から ない 、 待っ て 下さい という 回答 ばかり 。 今 まで アルバム を 作っ た 苦労 を 考え て 欲しい 。 ドコモ 側 の 都合 で アプリ が 分かれ た のに 、 改善 でき ない の は おかしい 。 早く 再 注文 できる よう に し て 欲しい 。 お客様 の こと を もっと 考え て ほしい 。 
",履歴が消えた,0.635,その他,0.271,サービス案内,0.023
"【 機種 】 ｉＰｈｏｎｅ ７ 以前 （ ｉＰｈｏｎｅ ６ Ｓ ） ｉＯＳ １ ４ ． ４ 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 利用 許諾 後 、 権限 を 全て 許可 し た 後 に 「 トラッキング を 防ぐ 」 という 表示 が 出 て き た 。 どの よう に 設定 す べき な の か 確認 し たい 。 また ｄ フォト の 利用 方法 を 確認 し たい 。 【 発生 日時 】 ２ ／ ２ ７ 　 ： １ １ ０ ３ 
",操作説明,0.653,ログイントラブル,0.114,サービス案内,0.09
"【 機種 】 ｉＰｈｏｎｅ １ １ 【 カテゴリ 】 トラ ） ｄ フォト 【 事象 の 概要 】 フォト ブック の 冊数 設定 画面 で 冊数 の 変更 が でき ない 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ［ 外部 機器 ］ １ ４ ０ ６ 
",操作説明,0.732,ログイントラブル,0.11,その他,0.051
"昨日 から ｄ フォト に ログイン でき なく て 困っ て い ます 。 サーバー と の 通信 に 失敗 し まし た と しか で ませ ん 。 どう し たら よい の でしょ う か ＆＃ １ ０ ０ ６ ７ ； 
",ログイントラブル,0.625,操作説明,0.131,その他,0.101
"【 機種 】 ｉＰｈｏｎｅ ８ 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 プリントアプリ で 端末 の 写真 の 表示 が でき ない 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ／ 【 解決 方法 】 ｉＰｈｏｎｅ の 設定 ＞ ｄ フォト プリント ＞ 写真 ＞ 全て の 写真 に チェック を いれ て 改善 ０ ８ ０ ９ 
",操作説明,0.905,ログイントラブル,0.045,サービス案内,0.022
"一度 解約 し て 今月 再 契約 し た から か ｄ フォト の フォト ブック 初回 お 試し サービス ２ ８ ０ 円 が 無料 なかなか 手続き が ・ ・ ・ 写真 キャンペーン 何 が 無料 な の か 高画質 ？ ｄ ミュージック １ 曲 づつ 購入 と 定額 制 プレイヤー を どう する の か この 曲 と この 曲 聞き たい と 思っ て も ラジオ みたい な イメージ です か ？ ｄ ヒッツ 容量 が アプリ すら 削除 し まし た 　 Ｂｌｕｅｔｏｏｔｈ も 長年 愛用 の が 修理 必要 な の か 新しく 購入 分 も 充電 が まず ｄｏｃｏｍｏ の 充電 器 使える の か ？ ？ 
",対象外,1.0,,,,
"ｄ フォト で 一 冊 繰越 せる のに 、 送料 が かかる なんて おかしい と おもう ！ 送料 込み の ２ ８ ０ 円 じゃ ない の か と １ ０ ７ 円 も 高い し 、 そんな こと しら なかっ た ！ 納得 いか ない 【 お客様 アンケート ( IC )】 
",その他,0.506,サービス案内,0.339,アプリが使いにくい,0.05
"【 機種 】 ｉＰｈｏｎｅ 機種 不明 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 アプリ 起動 する と 「 Ｄ １ １ ０ 」 の エラー が 発生 し 、 通信 環境 の 確認 を 求め られる 。 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 「 設定 」 ⇒「 ｄ フォト 」 ⇒「 モバイル データ通信 」 を ＯＮ に する 。 ０ ７ ０ ２ 
",ログイントラブル,0.615,操作説明,0.274,起動トラブル,0.06
"【 機種 】 ｉＰｈｏｎｅ ８ 　 ＯＳ １ ４ ． ４ 　 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 ｄ フォト プリント を 開い て も （ サービス が 未 契約 です ） と 表示 さ れ 利用 でき ない 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 ｄ フォト の 契約 が 無かっ た 為 契約 し て いただく 旨 お伝え ０ ７ ０ ５ 
",ログイントラブル,0.868,サービス案内,0.05,操作説明,0.038
"【 機種 】 ｉＰｈｏｎｅ 機種 不明 　 ｉＯＳ １ ４ ． ４ 【 カテゴリ 】 ｄ フォト ： プリント サービス 【 事象 の 概要 】 別 の 方 の ｄ アカウント で ログイン 操作 を し て も 自分 の ｄ アカウント で ｄ フォトプリントアプリ が 起動 する ・ ｄ アカウント 設定 アプリ 内 ： 自分 の ｄ アカウント 設定 有 【 発生 日時 】 ／ 　 ： １ ４ ０ １ 
",ログイントラブル,0.95,サービス案内,0.016,操作説明,0.011
"【 機種 】 ｉＰｈｏｎｅ 　 Ｘ 　 ｉＯＳ １ ４ ． ４ 【 カテゴリ 】 トラ ） ｄ フォト 　 【 事象 の 概要 】 １月 末 に 注文 し た フォト ブック が ２月 の 注文 履歴 に 表示 さ れ て い た 。 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ［ 外部 機器 ］ ０ ７ ０ ４ 
",履歴が消えた,0.472,操作説明,0.431,その他,0.043
"【 機種 】 機種 不明 　 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 契約 は ある が ｄ フォトプリントアプリ に ログイン でき ず 、 申し込み ページ に 遷移 し て しまい 、 注文 も でき ない 。 【 発生 日時 】 ２ ／ ２ ６ 　 【 再発 有無 】 初 事象 【 解決 方法 】 ｄ アカウント 設定 アプリ を インストール 後 、 契約 の ある ｄ アカウント を 設定 し 改善 ０ ９ ０ ８ 
",ログイントラブル,0.923,操作説明,0.032,対象外,0.015
"【 機種 】 ＳＣ − ４ ２ Ａ （ Ａ ２ １ ） ＯＳ １ ０ 【 カテゴリ 】 ▲ その他 クラ ウド サービス （ ドコモアプリデータバックアップ ） 【 事象 の 概要 】 一括 バックアップ を する と 「 バックアップ に 失敗 し た アプリ が あり ます 。 各 アプリ の 設定 や 通信 状況 など を ご 確認 下さい 」 と 表示 さ れ 「 災害 用 キット 」 「 ｄ フォト 」 が 毎回 失敗 する 【 発生 日時 】 ／ 　 ： ■ 社内 問い合わせ 遠隔 代々木 センター ０ ５ ０ ２ 
",操作説明,0.605,起動トラブル,0.14,その他,0.099
"※ 記録 残し の 為 、 ダミー 発信 【 ご 要望 】 ドコモ ＨＰ 上 の ｄ フォト の 送料 について の 書き方 が 分かり 辛い 。 権利 を 繰越し て フォト ブック を 注文 し た 場合 、 送料 が かかっ て くる こと を 分かり やすく 明記 し て 欲しい 。 よく ある 質問 に 記載 は あっ た が 、 契約 する 前 から よく ある 質問 は 見 ない 。 
",サービス案内,0.629,その他,0.137,操作説明,0.082
"【 お客様 情報 】 ・ 契約 者 情報 未 聴取 。 【 問合せ 内容 】 ・ ｄ フォト 通信 エラー が 出る 。 ・ 他 の アプリ は 問題 なし 。 【 回答 】 ・ あんしん 遠隔 サポート 転送 。 【 応対 ログ ＩＤ 】 ７ ７ ４ ２ ３ iPhone 11 , E : ﾄﾞｺﾓ 提供 ・ 提携 ｱﾌﾟﾘ 関連 
",操作説明,0.601,ログイントラブル,0.223,その他,0.064
"【 機種 】 ＳＯ − ０ ３ Ｋ （ Ｘ Ｚ ２ ） １ ０ 【 カテゴリ 】 トラ ） ｄ フォト 　 【 事象 の 概要 】 写真 が アップデート 後 消え た 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ［ 外部 機器 ］ アルバム ・ ｄ フォト ・ フォト から 消え て おり ファイルアプリ 内 で は 確認 できる が 写真 として は 表示 さ れ ない 状態 ファイル を 移動 し て も 不可 ファイル ⇒ 画像 一覧 から 写真 を 開く ⇒ 右 上 メニュ ⇒ 保存 ⇒ ピクチャー に 保存 する も 不可 ０ ７ ０ ３ 
",操作説明,0.852,その他,0.036,マイアルバムから選べなくなった,0.031
"【 機種 】 ＳＨ − ０ ２ Ｍ （ ＡＱｓｅｎｓｅ ３ ） ビルド 最新 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 Ｗｉ − Ｆｉ 接続 時 のみ 写真 の 読み込み 画面 から 進ま ない 【 発生 日時 】 ２ ／ ２ ６ ■ 社内 問い合わせ 遠隔 サポート 池袋 センター １ ４ ０ ２ 
",操作説明,0.814,その他,0.057,サービス案内,0.036
"【 機種 】 ＳＨ − ０ ２ Ｍ （ ＡＱｓｅｎｓｅ ３ ） １ ０ ／ ０ ０ ０ ８ 最新 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 Ｗｉ − Ｆｉ 接続 時 のみ アプリ を 起動 する と ＮＴＴ 　 ＤＯＣＯＭＯ の ログ 表示 画面 で 緑 の 円 マーク で が 表示 さ れ 読み込み 中 の まま 写真 一覧 に なら ない 【 発生 日時 】 ／ 　 ： ■ 社内 問い合わせ 遠隔 池袋 センター ０ ７ ０ １ 
",操作説明,0.699,起動トラブル,0.165,ログイントラブル,0.049
"こんにちは 。 ｄ フォト について の 質問 です 。 規約 の 著作 権 ・ 肖像 権 を 見 て も よく 理解 でき なかっ た の です が 、 公式 に 出 て いる アイドル の 写真 を 、 フォト ブック 作成 や Ｌ 判 プリント し て も 良い の でしょ う か ？ もちろん 、 売る 目的 で は 無く 、 私 １ 人 又は 友達 と 見 て 飾っ て 楽しむ の が 目的 です 。 
",その他,0.27,サービス案内,0.235,アプリが使いにくい,0.191
"ｄ フォト で アカウント 認証 が でき ませ ん 。 アカウント 欄 は 「 −」 で クリック でき まず 、 ログアウト も でき ませ ん 。 アップデート も でき ませ ん 。 パソコン で 写真 を あげ て も 見れ ませ ん 。 解消 し たい ので 、 教え て ください 。 
",ログイントラブル,0.52,操作説明,0.299,インストールトラブル,0.089
"１ ． ５ 採用 。 ｄ キッズ・ ｄ フォト 廃止 。 
",対象外,0.875,その他,0.025,サービス案内,0.021
"【 機種 】 ｉＰｈｏｎｅ ７ 　 ＯＳ １ ４ ． ４ 【 カテゴリ 】 ｄ フォト プリント 【 事象 の 概要 】 アプリ を 立ち 上げる と 「 アプリ の 起動 に 必要 な 情報 が 取得 でき ませ ん でし た 」 と 表示 さ れ 開け ない 。 【 発生 日時 】 ２ ／ ２ ５ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 サイト 越え トラッキング を 防ぐ ＯＦＦ → ドコモ の 通信 に 切り替え 。 １ ３ ０ ５ 
",起動トラブル,0.701,ログイントラブル,0.178,サービス案内,0.027
"【 機種 】 ｉＰｈｏｎｅ 機種 不明 ビルド 最新 【 カテゴリ 】 トラ ） ｄ フォト 【 事象 の 概要 】 ｄ フォトプリントアプリ から Ｌ 判 プリント を 申し込む 為 写真 を 選択 し た が 、 プレビュー に １ ０ ０ ０ ＫＢ 超え た 画像 だけ 表示 さ れ ない 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ［ 外部 機器 ］ ０ ３ ０ ３ 
",操作説明,0.897,マイアルバムから選べなくなった,0.027,サービス案内,0.017
"Ｗｉ − Ｆｉ で ｄ フォト が 使え ませ ん 。 アプリ が 開く とき の ロゴ の 画面 で 読み込み に なっ た まま で 進み ませ ん 。 一度 アン インストール し て から 再 インストール し て も 同じ でし た 。 Ｗｉ − Ｆｉ を 止め たら 使え ます が それでは データ 通信 量 が 増え て しまい ます 。 Ｗｉ − Ｆｉ で は 使え ない 原因 は 何 です か ？ よろしく お願い し ます 。 
",操作説明,0.431,ログイントラブル,0.15,サービス案内,0.136
"インク らしき もの で 汚れ た ｄ フォト の アルバム が 送ら れ て き た のに 、 審査 が 必要 で 、 かつ 交換 や 返品 が でき ない かも と 言わ れ まし た 。 不 良品 を 提供 し て 、 その 対応 は おかしい と 感じ ます 。 信じ がたい です 。 【 お客様 アンケート ( IC )】 
",その他,0.817,操作説明,0.055,サービス案内,0.027
"ｄ フォト プリント サービス の 「 お 届け先 」 が 三 件 しか 登録 でき ない ので もっと 増やし て 欲しい 
",その他,0.735,ログイントラブル,0.087,サービス案内,0.045
"【 機種 】 ＳＨ − ０ ２ Ｍ （ ＡＱｓｅｎｓｅ ３ ） ／ １ ０ 　 【 カテゴリ 】 ｄ フォト ・ フォト 【 事象 の 概要 】 ｄ フォト で アップ ロード する 際 に ＤＬ し た もの や ＬＩＮＥ で 保存 し た 物 が アップ ロード し た 日付 に なる ので 変更 編集 並び 替え が でき ない か 知り たい 。 フォト で 写真 の 一覧 の 大き さ を 変え たい 【 発生 日時 】 ／ 　 ： ０ ４ ０ ５ 
",操作説明,0.858,その他,0.07,サービス案内,0.044
"１ １ ． １ ８ 採用 　 ｄ フォト 廃止 
",対象外,0.879,サービス案内,0.025,その他,0.025
"１ ． ５ 採用 ｄ フォト の 契約 確認 。 
",その他,0.606,対象外,0.135,ログイントラブル,0.132
"【 機種 】 ＳＨ − ４ １ Ａ （ ＡＱｓｅｎｓｅ ４ ） 【 カテゴリ 】 ｄ フォト 　 【 事象 の 概要 】 クラ ウド に お 預かり 操作 を し て いる が 、 読み込み 画面 から 進ま ず ずっと くるくる 読み込む 画面 が で て きる 。 【 発生 日時 】 ／ 　 ： ■ 社内 問い合わせ 　 遠隔 なか の センター ０ ６ ０ ７ 
",操作説明,0.782,サービス案内,0.124,その他,0.032
"【 機種 】 ｉＰｈｏｎｅ ８ 【 カテゴリ 】 ▲ その他 ｄ 系 アプリ 、 ▲ その他 ドコモ 提供 アプリ 【 事象 の 概要 】 １ ． ｉＰｈｏｎｅ ８ に ｄ フォト 契約 の ｄ アカウント 設定 し て いる 。 ｄ キッズ は 別 回線 の 契約 だ が 設定 し て 利用 できる か ？ ２ ． ｄｉｓｎｅｙ ＋ の テレビアプリ の ログイン 方法 を 知り たい 。 【 発生 日時 】 ／ 　 ： ０ ５ ０ １ 
",ログイントラブル,0.838,サービス案内,0.092,操作説明,0.049
"【 機種 】 ｉＰｈｏｎｅＳＥ （ 第 ２ 世代 ） 【 カテゴリ 】 ｄ フォト 　 【 事象 の 概要 】 預け られ ない 写真 が ある 　 何故か ？ 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ／ 再発 【 解決 方法 】 写真 の ｉＰｈｏｎｅ の ストレージ の 最適 化 状態 だ と 本体 に ダウンロード し ない 限り 不可 １ ２ ０ ３ 
",操作説明,0.89,その他,0.057,サービス案内,0.016
"１ ． ５ 採用 。 基本 使用 料金 ・ 通信 料金 について 概要 説明 。 ｄ フォト・スゴ 得 コンテンツ 廃止 。 
",対象外,0.467,サービス案内,0.207,その他,0.178
