Text,TopCategory1,TopCategory1 Probability,TopCategory2,TopCategory2 Probability,TopCategory3,TopCategory3 Probability
"ｄ フォト の プリント サービス を 使用 し て いる 、 送料 削減 の 為 に も 異なる ページ 構成 の フォト ブック を 同時 注文 ・ まとめ て 発送 できる 様 に し て 欲しい 。 
",その他,0.569,操作説明,0.155,サービス案内,0.129
"購入 し た 端末 が ハズレ だっ た の かも しれ ませ ん が 、 購入 早々 から 不具合 の 連続 です 。 どうか 誤 作動 解消 に 尽力 下さい 。 また 、 御社 グラウンド サービス Ｄ フォト 、 不具合 が 多 過ぎ ます ので 安定 向上 に 加え 、 お預け 容量 アップ の 検討 を 強く 願い ます 。 【 お客様 アンケート ( IC )】 
",その他,0.564,操作説明,0.308,サービス案内,0.03
"【 機種 】 ｉＰａｄｍｉｎｉ ４ 【 カテゴリ 】 ｄ フォト 　 【 事象 の 概要 】 ｄ フォト 契約 ある のに ｄ フォト プリント の フォト ブック を つくる を 押す と 「 利用 に は 申込 が 必要 です 」 と 表示 さ れる 【 発生 日時 】 ２ ／ ２ ５ １ １ 　 ： ４ ６ 【 再発 有無 】 初 事象 ／ 【 解決 方法 】 ｄ アカウント 発行 し 改善 １ ３ ０ ３ 
",ログイントラブル,0.824,操作説明,0.092,サービス案内,0.032
"【 機種 】 ｉＰｈｏｎｅ 機種 不明 【 カテゴリ 】 トラ ） 空き 容量 不足 【 事象 の 概要 】 １ ２ ７ ． ９ ／ １ ２ ８ ＧＢ 利用 中 。 機種 変更 の ため バックアップ を 取り たい 。 ｄ フォト を 活用 し たい が 空き 容量 不足 の 通知 が 出 て しまう 。 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ［ 外部 機器 ］ ０ ６ ０ ５ 
",操作説明,0.851,その他,0.053,サービス案内,0.047
"【 機種 】 ＳＣ − ０ ３ Ｌ 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 ｄ フォト を 開く と 端末 内 の 写真 と お 預かり し て いる 写真 を 読み込ん で い ます と 表示 が さ れ た まま 消え ない 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 １ 枚 手動 で 写真 を お 預かり 保存 する する 事 で 改善 ０ ６ ０ １ 
",操作説明,0.959,サービス案内,0.009,その他,0.007
"【 機種 】 ＳＯ − ０ １ Ｌ （ Ｘ Ｚ ３ ） 【 カテゴリ 】 ｄ フォト 　 【 事象 の 概要 】 ｄ フォト で 他 の アカウント に ログイン が でき ない 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 端末 自体 の ｄ アカウント 設定 を 変更 し て いただく よう 案内 し 解決 ０ ５ ０ ４ 
",ログイントラブル,0.849,操作説明,0.108,その他,0.026
"ＯＳ １ ０ の ＳＣ − ４ ２ Ａ を ２ 台 所有 し て いる 。 ２ 台 とも ドコモアプリデータバックアップ の 一括 バックアップ が 正常 に 動作 し ない 。 一部 アプリ の バックアップ が 出来 なかっ た と 表示 さ れる 。 ｄ フォト 、 災害 用 キット 、 ｄ マーケット 等 が その 対照 データ 。 これ を 改善 し て 欲しい 。 
",その他,0.411,操作説明,0.387,ログイントラブル,0.053
"【 お客様 情報 】 ・ 契約 者 情報 未 聴取 。 【 問合せ 内容 】 ・ ｄ フォト 利用 し たら ２ ０ ０ ０ ポイント もらえる の に もらえ ない 。 【 リセット ・ 設定 改善 状況 】 【 ソフトウェア 更新 確認 】 【 回答 】 ・ サービス 確認 の ため インフォ 転送 。 【 応対 ログ ＩＤ 】 ７ ３ ９ ９ ４ L : 料金 ・ 商品 ・ ｻｰﾋﾞｽ 問合せ 
",対象外,1.0,,,,
"ＳＯ − ０ ２ Ｈ 利用 中 。 ｄ フォトアプリ は 最新 。 過去 に 作っ た ７ 種類 の フォト ブック を 全て １ 冊 づつもう 一 度 マイ ギャラリー から 注文 し たい が 、 旧 フォトブックアプリ で 作成 し た フォト ブック は 現在 再 注文 でき ませ ん と 表示 さ れる 。 今後 再 注文 できる よう に 変更 し て 欲しい 。 
",履歴が消えた,0.836,その他,0.086,操作説明,0.043
"１ １ ． １ ８ 採用 ｄ フォト 廃止 
",対象外,0.879,サービス案内,0.025,その他,0.025
"【 機種 】 Ｆ − ０ ５ Ｊ 　 ７ ． １ 【 カテゴリ 】 ｄ フォト （ ＷＥＢ アルバム ） 【 事象 の 概要 】 フォト ブック を 作成 し たい が 作成 し たい 写真 が フォト ブック に 表示 さ れ ない フォト ブック 利用 でき なく なる と の メール が 届い た が 対象 に なる の か 確認 し たい 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 撮影 日 まで さかのぼっ て いただき 見つけ て いただい た 為 完了 ＳＨ Ａ ２ に 対応 し て いる 為 今後 も 利用 出来る 旨 案内 ０ ７ ０ ３ 
",操作説明,0.629,その他,0.291,サービス案内,0.026
"料金 プラン を ａｈａｍｏ に 変え たい と 検討 中 な の です が 、 キャリア メール が 使え ない と あり まし た 。 ａｈａｍｏ に し た 場合 に 利用 可能 な ドコモ が 提供 し て いる メール サービス 等 は あり ます か ？ また 、 ｓｐ モード の 契約 が 含ま れ て い ない と の こと でし た が 、 今 まで 使っ て い た ドコモクラウド は 使え なく なる の でしょ う か ？ その 場合 クラ ウド に 保存 し て ある 電話 帳 や 写真 、 メモ 帳 など の データ は どう なり ます か ？ ｄ フォト を 使っ て 毎月 アルバム を 作っ て いる の です が 、 こちら も クラ ウド に 含ま れる と 書い て あっ た の です が 、 ａｈａｍｏ に する と ｄ フォト の サービス も 使え なく なり ます か ？ 
",サービス案内,0.553,その他,0.263,ログイントラブル,0.09
"ｄ フォト が とても 良い と 思い ます 。 遠隔 サポート も とても 便利 です 。 【 お客様 アンケート ( DS )】 
",その他,0.903,操作説明,0.024,ログイントラブル,0.015
"・ ｄ フォトプリントアプリ の 注文 操作 中 に 通信 エラー で 画面 が 度々 固まっ て しまい 誤 注文 を し て しまう ので 改善 し て 欲しい 。 
",操作説明,0.555,その他,0.189,ログイントラブル,0.103
"ｄ フォトプリントアプリ が 使い づらい 。 今 まで は ｄ フォトアプリ から バックアップ し て いる 写真 が 表示 さ れ 、 そこ から プリント 手続き に 推移 し て い た が 、 プリントアプリ で ｄ フォト の バックアップ データ を 読み込む の に 非常 に 時間 が かかる 。 契約 し て い て も 読み こむ だけ で 時間 が かかり 、 プリント する 気 が なくなっ て しまう 。 
",操作説明,0.432,アプリが使いにくい,0.272,マイアルバムから選べなくなった,0.122
"ｄ フォト で 端末 の 写真 を 移行 し てる 際 に Ｗｉ − Ｆ ｉ 環境 に ある のに 、 パケット を 大量 に 消費 し まし た 。 なぜ です か ？ Ｗｉ − Ｆｉ のみ 設定 に し て ます 。 ほか の 作業 で Ｗｉ − Ｆｉ の 調子 が 悪い 様子 は あり ませ ん 。 
",操作説明,0.671,その他,0.156,サービス案内,0.083
"【 機種 】 ＤＭ − ０ １ Ｋ （ Ｄｉｓｎｅｙ ） 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 ｄ フォト にて お 預かり し たい が 「 対応 し て い ない 拡張 子 」 という エラー 。 先月 ／ 今月 の データ が アップ ロード さ れ て い ない 。 プロパティ 確認 し た が ＪＰＥＧ で 対応 拡張 子 。 【 発生 日時 】 ２ ／ ２ ３ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 サードパーティアプリ の カメラ で の 撮影 データ で 、 プリイン の カメラアプリ の 撮影 データ だ と アップ ロード でき まし た 。 １ １ ０ １ 
",操作説明,0.714,サービス案内,0.192,その他,0.053
"【 機種 】 ＰＣ （ Ｗｉｎ ８ ） 【 カテゴリ 】 トラ ） ▲ その他 ｄ マーケット ストア 【 事象 の 概要 】 ｄ フォト の ｗｅｂ アルバム に ログイン 出来 ない 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 ［ 外部 機器 ］ １ ４ ０ ６ 
",ログイントラブル,0.413,操作説明,0.283,インストールトラブル,0.144
"【 機種 】 ＳＨ − ０ ３ Ｊ 　 【 カテゴリ 】 ｄ フォト 　 【 事象 の 概要 】 マイ アルバム の 中 で 写真 の 並び 替え や コメント を 入力 する 機能 が ある か ？ 【 発生 日時 】 ／ 　 ： １ ０ ０ ２ 
",操作説明,0.546,その他,0.253,サービス案内,0.088
"【 機種 】 Ｌ − ０ ３ Ｋ （ ＳＴＹＬＥ ） ９ （ 代替 機 ） 【 カテゴリ 】 メーカアプリ 【 事象 の 概要 】 ギャラリー の 動画 に ！ マーク が つい て いる 。 音声 しか 流れ ない 。 ＳＤ カード 内 の データ 。 破損 し て いる か セーフ モード に なっ て い た ので 表示 できる アプリ が 無かっ た 可能 性 有 。 こちら は 了承 済み 。 ｄ 払い や ｄ ポイントアプリ が ドロイド に なっ て いる 。 → セーフ モード から 再 起動 で 改善 。 データ が 本当に 大事 な ので 厳重 に バックアップ とり たい 。 ＳＤ カード なし の 状態 で ｄ フォト に バックアップ ドコモ 電話 帳 は 同期 し て バックアップ が ある 状態 な ので クラ ウド 同期 を とめ て おき たい と 仰せ な ので 停止 を 案内 。 【 発生 日時 】 ／ 　 １ ３ ０ ４ 
",対象外,1.0,,,,
"【 機種 】 ＳＨ − ０ １ Ｌ （ Ａ Ｑ 　 ｓｅｎｓｅ ２ ） 【 カテゴリ 】 トラ ） ▲ その他 端末 機能 　 【 事象 の 概要 】 一部 写真 データ が 表示 さ れ なく なっ た ・ １ ０ 枚 程度 、 サムネイル が 真っ黒 、 半分 のみ 表示 、 タッチ し て も 反応 無 や 真っ暗 な 画面 が 表示 さ れる 状況 ・ フォト の 「 フォト 」 タブ でも 同様 の 状態 、 ｄ フォト 、 データ コピー 内 に 該当 データ 無 ［ 発生 手順 ］ ［ エラー 文言 ］ 無 ［ 発生 日時 ］ ２ ／ ２ ４ 　 ： ［ 再発 有無 ］ 初 事象 ［ 事象 発生 の きっかけ ］ 写真 の 編集 作業 を し て い た ［ 発生 環境 ］ 発生 機種 ［ 発生 頻度 ］ 過去 １ 回 ［ トラブル シューティング ］ 再 起動 ・ 空き 容量 問題 なし ： 内部 空 ７ ． ７ ＧＢ 、 外部 空 ６ ３ ＧＢ １ ４ ０ １ 
",操作説明,0.846,その他,0.085,起動トラブル,0.016
"先月 末 に 「 ドコモ 　 子育て 応援 プログラム 」 を 夫 が 契約 し た の です が 、 妻 の 私 に 変更 し たい の です が 、 可能 です か ？ 難しい よう でし たら 、 Ｄ フォト の 注文 だけ でも 私 の 携帯 から 出来る 方法 が あれ ば 教え て 頂き たい です 。 
",対象外,1.0,,,,
"ｄ フォト 関係 の アプリ が 、 以前 と 比べ て 使い にくく なっ て しまっ た ので 、 残念 です 。 【 お客様 アンケート ( IC )】 
",アプリが使いにくい,0.729,履歴が消えた,0.199,サービス案内,0.019
"【 機種 】 ＳＨ − ０ １ Ｋ （ ＡＱｓｅｎｓｅ ） ９ 　 ビルド 最新 【 カテゴリ 】 トラ ） ｄ フォト 　 【 事象 の 概要 】 起動 する と 画面 真っ暗 ⇒ エラー で 写真 が 表示 さ れ ない 。 ［ 発生 手順 ］ ｄ フォト 起動 ［ エラー 文言 ］ ポップアップ 画面 　 ｄ フォト は 応答 し て い ませ ん ［ 発生 日時 ］ ２ ／ ２ ３ 　 ： ［ 再発 有無 ］ 初 事象 ［ 事象 発生 の きっかけ ］ ケータイ 補償 サービス で この 機種 に なっ た ［ 発生 環境 ］ Ｗｉ − Ｆｉ ・ ＳＩＭ あり ・ 発生 機種 ［ 発生 頻度 ］ 常に ［ トラブル シューティング ］ 『 ｄ フォト 』 の データ 消去 Ｓ Ｄ カード を 抜い て み て どう か の 確認 を お願い し 終 話 ２ ２ １ １ 
",操作説明,0.797,ログイントラブル,0.077,起動トラブル,0.068
"【 機種 】 ＳＨ − ０ １ Ｌ （ Ａ Ｑ 　 ｓｅｎｓｅ ２ ） 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 ＰＣ （ ＷＥＢ アルバム ） に ９ ０ 枚 アップ ロード 済み だ が 、 アプリ 側 に 反映 さ れ ない 【 発生 日時 】 ２ ／ ２ ３ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 お 預かり 写真 の 閲覧 方法 を 案内 し 終 話 １ １ ０ １ 
",操作説明,0.936,サービス案内,0.021,その他,0.012
"【 機種 】 ｉＰｈｏｎｅ 機種 不明 　 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 ｄ フォトプリントアプリ に ログイン でき ない 。 【 発生 日時 】 ／ 　 ： ０ ７ ０ ６ 
",ログイントラブル,0.881,操作説明,0.061,サービス案内,0.022
"ｄ フォト で 保存 先 を 確認 できる よう に し て 欲しい 。 
",その他,0.376,履歴が消えた,0.252,操作説明,0.247
"【 機種 】 ＳＨ − ０ １ Ｍ 　 【 カテゴリ 】 フォト 、 ｄ フォト 【 事象 の 概要 】 フォト と ｄ フォト は 何 が 違う の か ？ 両方 入れ て 使う 必要 は ある の か ？ 【 発生 日時 】 ２ ／ ２ ３ 　 ： ０ ８ ０ ７ 
",操作説明,0.824,その他,0.071,サービス案内,0.038
"５ Ｇ が 拡充 し て い ない の に は ガッカリ し た 。 頑張っ て エリア を 広げ て ください 。 全体 的 な 価格 も もっと 抑え られる と 嬉しい 。 ｄ フォト もっと 貯め られる と いい のに 、 、 、 １ ２ 冊 まで 貯め られる と いい な 。 【 お客様 アンケート ( 販売 店 )】 
",その他,0.753,操作説明,0.078,ログイントラブル,0.045
"【 お客様 情報 】 ・ 契約 者 情報 未 聴取 。 【 問合せ 内容 】 ・ アマプラ 、 ｄ フォト 、 ディズニー プラス の 解約 希望 。 【 回答 】 ・ 契約 関連 お 問合せ の 為 、 インフォ 転送 。 【 応対 ログ ＩＤ 】 ７ ０ ２ ３ １ iPhone 7 Plus , L : 料金 ・ 商品 ・ ｻｰﾋﾞｽ 問合せ 
",その他,0.434,サービス案内,0.372,操作説明,0.078
"【 ｄ フォト の 「 思い出 通知 」 について 】 昔 の 携帯 電話 の 写真 が 送ら れ て き ます が 、 黒い 太い 枠 に かこま れ て い ます 。 古い 写真 な ので 、 切り取り 方 で そう なる の かも 知れ ませ ん が 、 あまりに ひどい 表示 の 仕方 です 。 どの よう な 画像 が 送ら れる か 確認 さ れ て いる の でしょ う か 。 子ども の 小さい 頃 の アップ の 写真 が ほとんど です 。 窓口 で も お話 し た の です が 、 改善 を よろしく お願い し ます 。 【 お客様 アンケート ( DS )】 
",その他,0.41,操作説明,0.381,サービス案内,0.12
"ｄ フォト で 料金 が 発生 し て いる の は 何故 です か ？ 子育て 応援 の を 登録 し て いる ので 、 ８月 まで 無料 だ と 思い ます が 違い ます か ？ 前 １ 年間 は 無料 と 言わ れ た と 思い ます 。 
",対象外,1.0,,,,
"・ 入電 者 ： 契約 者 本人 ・ 使用 機種 ： ＳＨ ４ １ Ａ ◆ 機種 変更 後 の ＳＨ ４ １ Ａ の アプリ 一覧 表示 が 全て の アプリ で 表示 さ れる ので ホーム 画面 に ある アイコ ン が 非 表示 だ と 見 やすい ◆ アプリ の 削除 も 上 に ドラッグ する スペース が 狭く て 誤っ て 消し て しまう ので 使い づらい ◆ ｄ フォト の アルバム 分け し た 写真 は 一覧 に 表示 さ れ ない よう に し て 欲しい （ ２ ０ １ ５ 年 から 変化 が ない ので 何とか なら ない の か ） ◆ 何 度 も 色んな 件 で 問合せ し て いる が 、 こちら に 不具合 が あっ た 場合 、 改善 の 連絡 が こちら から あっ て 然るべき で は ない か 。 こちら から 問い合わせ て 初めて わかる の は おかしい 上記 を あげ て ほしい と の こと で 記録 に 残し て い ます 
",操作説明,0.407,その他,0.226,ログイントラブル,0.092
"【 機種 】 ｉＰｈｏｎｅＸ 　 １ ３ ． ７ 【 カテゴリ 】 トラ ） ｄ フォト 【 事象 の 概要 】 端末 の 空き 容量 が いっぱい です なり 写真 の 移行 が でき ない ｄ フォト 　 ２ ． ３ ７ ＧＢ 使用 ／ ５ ５ ＧＢｉＰｈｏｎｅ ストレージ ６ ３ ． ７ Ｇ ｂ 使用 ／ ６ ４ ＧＢ 再 起動 済み ｄ フォト アップデート 済み 子育て 応援 プログラム 加入 中 【 発生 日時 】 【 再発 有無 】 初 事象 ［ 外部 機器 ］ ０ １ ０ １ 
",対象外,1.0,,,,
"１ ． ５ 採用 　 ドコモ の ロング 学割 、 子育て 応援 ＰＧ の ｄ フォト について 
",対象外,1.0,,,,
"今回 ｄ フォト の 注文 にて 住所 変更 が 出来 て い なかっ た 事 について の 問い合わせ を し た が 、 そもそも ドコモ にて 住所 変更 が 完了 し て い たら 、 ドコモ にまつわる アプリ の 住所 も 自動的 に 変更 さ れる よう 改善 し て 欲しい 。 【 お客様 アンケート ( IC )】 
",その他,0.684,アプリが使いにくい,0.179,操作説明,0.078
"先日 スマホ 講座 写真 を 受け まし た 。 新 機種 の カメラ の 説明 か と 思い まし たら ｄ フォト の 案内 から 有料 アルバム の 斡旋 でし た 。 がっかり し まし た 。 【 お客様 アンケート ( IC )】 
",その他,0.652,操作説明,0.177,サービス案内,0.076
"ｉＰｈｏｎｅ 　 ６ ｓ で ｄ フォト を 利用 し て ます が 先週 辺り から ｄ フォト に 繋がり ませ ん 。 ｉｏｓ は １ ４ ． ４ です 。 アプリ を 一度 アン インストール し て 再度 インストール も し まし た が 繋がり ませ ん 。 確認 願い ます 。 ｉＰｈｏｎｅ 　 ６ ｓ 
",操作説明,0.582,インストールトラブル,0.1,その他,0.091
"子育て 応援 プラン に 入っ て おり 、 ｄ フォト で アルバム を 作り たい の です が 、 どこ から 作れる の でしょ う か 。 ｄ フォト プリント の アプリ を ダウンロード し ログイン し まし た が 、 申し込み さ れ て ない ため 利用 でき ませ ん という 旨 の アラート が 表示 さ れ ます 。 
",対象外,1.0,,,,
"【 機種 】 ＳＣ − ０ １ Ｋ 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 子育て 応援 プログラム に 申し込ん だ ので 、 ５ ０ ＧＢ が 追加 さ れ て いる か 確認 し たい 【 発生 日時 】 ／ 　 【 再発 有無 】 初 事象 【 解決 方法 】 操作 を 案内 し 解決 ０ ２ ０ ２ 
",対象外,1.0,,,,
"今回 ｄ フォト が 手元 に 届か ない という こと で 電話 し た の です が 住所 に 誤り が あっ た という こと で 再度 注文 し 直し まし た 。 ｄ フォト の 作れる 枚数 が １ 冊 分 消化 に なり また １ 冊 分 作れる よう に 戻し て くれる の です か ？ 次 は 本当に ちゃんと 届く の か 心配 です 。 ドコモ が 私 の 住所 登録 を 間違え た の で は ない でしょ う か 。 せめる つもり は ない の です が 一応 意見 として 書か せ て いただき ます 。 【 お客様 アンケート ( IC )】 
",その他,0.699,履歴が消えた,0.069,アプリが使いにくい,0.057
"【 機種 】 ＳＨ − ０ ３ Ｊ 　 ＯＳ ９ 【 カテゴリ 】 トラ ） ｄ フォト 【 事象 の 概要 】 写真 を お 預かり 保存 で アップ ロード し て いる が 、 通知 一覧 に ｄ フォト 「 実行 中 です 」 と 表示 さ れ て 、 いつ まで 経っ て も 消え ない 。 気持ち 悪い ので 消える よう に し たい ［ 発生 手順 ］ ［ エラー 文言 ］ ［ 発生 日時 ］ ［ 再発 有無 ］ 初 事象 ［ 事象 発生 の きっかけ ］ ［ 発生 環境 ］ Ｗｉ − Ｆｉ ［ 発生 頻度 ］ ［ トラブル シューティング ］ 再 起動 ・ 「 ｄ フォト 」 データ 消去 済 １ ０ ０ ６ 
",操作説明,0.892,履歴が消えた,0.039,サービス案内,0.03
"ｄ フォト の 不具合 を 直し て ほしい 。 何 度 も 言っ てる の に 直ら ない 。 その よう な もの を 提供 し て いる の が おかしい 。 
",その他,0.616,操作説明,0.214,サービス案内,0.049
"【 機種 】 ＳＯ − ０ １ Ｌ （ Ｘ Ｚ ３ ） 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 子育て 応援 プログラム で ｄ フォト を １ ３ ヶ月 間 無料 で 使える よう な 契約 を し てる のに 、 ｄ フォト の フォト ブック を 作ろ う と ログイン 画面 に 進む と 、 「 お 申込 が 必要 です 」 という 表示 が 出 て くる 。 【 発生 日時 】 ／ 　 ： 【 再発 有無 】 初 事象 【 解決 方法 】 ｄ フォト そのもの の 契約 が なかっ た から 、 お 申込 は 必要 で 、 実際 に 料金 は かから ない という こと を 伝え 終 話 。 １ ０ ０ ３ 
",対象外,1.0,,,,
"ｄ フォト が 使い にくい 。 できる こと を でき ない と 案内 する 方 も いる 。 案内 する 時 に １ 人 の ユーザー と 考える な その 人 の 関わり で どれ だけ の 人 が 繋がっ てる か を 考えろ 。 情報 が 伝わっ たら どう する ん だ 怖い だろ 。 どんな パイプ を もっ てる か わから ない だろ う 。 発信 する 能力 は ある から 恐ろしい 。 ドコモ ＯＰ が 案内 する 内容 次第 で いろんな 人 に 悪い 情報 が 回る ん だ から 気 を つけろ と の こと 。 ドコモ 全体 で しっかり 案内 が できる よう に し て ほしい と お客様 から ご 指摘 。 
",操作説明,0.343,アプリが使いにくい,0.22,その他,0.196
"【 機種 】 ｉＰｈｏｎｅ ８ 　 １ ４ ． ４ 【 カテゴリ 】 ｄ フォト 【 事象 の 概要 】 ｄ フォト プリント し たい が 、 写真 を ｉＣｌｏｕｄ で 最適 化 し て て 目的 の 写真 が 本体 に ない 為 プリント でき ない 。 本体 容量 が いっぱい なので オリジナル を ダウンロード に し て も 写真 が ダウンロード さ れ ない 。 容量 を 空ける 以外 に 方法 が ない か 知り たい 。 【 発生 日時 】 ／ 　 ： ０ ９ ０ ５ 
",操作説明,0.884,サービス案内,0.058,インストールトラブル,0.014
"オンライン で 子育て 応援 ＰＧ の お子様 追加 時 に 、 ｄ フォト の １ ３ ヶ月 無料 期間 が １ 回線 につき １ 回 という の が 分かり にくい と の 事 でし た 。 
",対象外,1.0,,,,
"ＤＳ で 子育て 応援 ＰＧ の ３ 人 目 の 追加 を し た の だ が 、 その 際 に ｄ キッズ が いつ でも 加入 できる といった 案内 が なかっ た こと 、 ｄ フォト が 無料 で ある と ある と いわ れ た が 、 実際 は 料金 が かかっ て いる こと 。 ＯＰ に関して は 、 全て なかっ た こと に し たい 。 
",対象外,1.0,,,,
"ｄ フォト で 貰える はず の ２ ０ ０ ０ ポイント が 、 もうすぐ １ 年 たと う と し て いる のに 未だに 入っ て い ませ ん 。 どう なっ て いる の でしょ う か ？ ｓｈ − ５ １ ａ 
",対象外,1.0,,,,
